name,age,sex,rt,response,answer,stimulus,target,correct,webgazer_data,webgazer_targets_data,canvas_data
,,,466.0,8,8.0,"[""blue"",""green"",""red"",""yellow""]",green_1,True,"[{""x"":876,""y"":445,""t"":1},{""x"":836,""y"":449,""t"":46},{""x"":872,""y"":479,""t"":77},{""x"":920,""y"":475,""t"":108},{""x"":931,""y"":473,""t"":140},{""x"":940,""y"":472,""t"":172},{""x"":890,""y"":471,""t"":207},{""x"":872,""y"":485,""t"":240},{""x"":873,""y"":496,""t"":275},{""x"":889,""y"":518,""t"":307},{""x"":909,""y"":509,""t"":343},{""x"":864,""y"":477,""t"":389},{""x"":826,""y"":449,""t"":418}]","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":550,""y"":125,""width"":80,""height"":80,""top"":85,""right"":590,""bottom"":165,""left"":510},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":550,""y"":725,""width"":80,""height"":80,""top"":685,""right"":590,""bottom"":765,""left"":510}]","{""#container"":{""x"":266.42919921875,""y"":48.58407211303711,""width"":1099.9910888671875,""height"":849.9955444335938,""top"":48.58407211303711,""right"":1366.4202880859375,""bottom"":898.5796165466309,""left"":266.42919921875}}"
,,,521.0,2,2.0,"[""yellow"",""purple"",""blue"",""green""]",green_1,True,"[{""x"":830,""y"":423,""t"":2},{""x"":807,""y"":414,""t"":44},{""x"":787,""y"":407,""t"":71},{""x"":784,""y"":420,""t"":106},{""x"":768,""y"":429,""t"":138},{""x"":797,""y"":449,""t"":173},{""x"":822,""y"":467,""t"":205},{""x"":866,""y"":488,""t"":240},{""x"":913,""y"":495,""t"":273},{""x"":914,""y"":507,""t"":320},{""x"":941,""y"":544,""t"":351},{""x"":958,""y"":526,""t"":377},{""x"":908,""y"":601,""t"":410},{""x"":910,""y"":678,""t"":446},{""x"":910,""y"":698,""t"":479}]","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":550,""y"":125,""width"":80,""height"":80,""top"":85,""right"":590,""bottom"":165,""left"":510},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":550,""y"":725,""width"":80,""height"":80,""top"":685,""right"":590,""bottom"":765,""left"":510}]","{""#container"":{""x"":266.42919921875,""y"":48.58407211303711,""width"":1099.9910888671875,""height"":849.9955444335938,""top"":48.58407211303711,""right"":1366.4202880859375,""bottom"":898.5796165466309,""left"":266.42919921875}}"
,,,581.0,2,2.0,"[""yellow"",""purple"",""red"",""blue""]",blue,True,"[{""x"":951,""y"":641,""t"":1},{""x"":957,""y"":614,""t"":46},{""x"":965,""y"":594,""t"":80},{""x"":990,""y"":634,""t"":112},{""x"":950,""y"":586,""t"":143},{""x"":964,""y"":566,""t"":171},{""x"":956,""y"":554,""t"":206},{""x"":1008,""y"":561,""t"":238},{""x"":941,""y"":558,""t"":275},{""x"":883,""y"":555,""t"":307},{""x"":861,""y"":542,""t"":357},{""x"":896,""y"":505,""t"":386},{""x"":926,""y"":474,""t"":417},{""x"":918,""y"":456,""t"":446},{""x"":950,""y"":462,""t"":478},{""x"":1027,""y"":512,""t"":515},{""x"":1058,""y"":563,""t"":545}]","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":550,""y"":125,""width"":80,""height"":80,""top"":85,""right"":590,""bottom"":165,""left"":510},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":550,""y"":725,""width"":80,""height"":80,""top"":685,""right"":590,""bottom"":765,""left"":510}]","{""#container"":{""x"":266.42919921875,""y"":48.58407211303711,""width"":1099.9910888671875,""height"":849.9955444335938,""top"":48.58407211303711,""right"":1366.4202880859375,""bottom"":898.5796165466309,""left"":266.42919921875}}"
,,,488.0,8,8.0,"[""blue"",""purple"",""yellow"",""green""]",purple_1,True,"[{""x"":1004,""y"":529,""t"":1},{""x"":966,""y"":510,""t"":47},{""x"":932,""y"":494,""t"":69},{""x"":893,""y"":516,""t"":105},{""x"":868,""y"":518,""t"":140},{""x"":860,""y"":521,""t"":174},{""x"":836,""y"":561,""t"":205},{""x"":816,""y"":541,""t"":241},{""x"":799,""y"":523,""t"":275},{""x"":838,""y"":548,""t"":311},{""x"":890,""y"":574,""t"":346},{""x"":935,""y"":596,""t"":382},{""x"":917,""y"":571,""t"":416},{""x"":897,""y"":548,""t"":452}]","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":550,""y"":125,""width"":80,""height"":80,""top"":85,""right"":590,""bottom"":165,""left"":510},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":550,""y"":725,""width"":80,""height"":80,""top"":685,""right"":590,""bottom"":765,""left"":510}]","{""#container"":{""x"":266.42919921875,""y"":48.58407211303711,""width"":1099.9910888671875,""height"":849.9955444335938,""top"":48.58407211303711,""right"":1366.4202880859375,""bottom"":898.5796165466309,""left"":266.42919921875}}"
,,,431.0,8,8.0,"[""yellow"",""purple"",""blue"",""red""]",purple,True,"[{""x"":914,""y"":531,""t"":1},{""x"":880,""y"":485,""t"":39},{""x"":884,""y"":499,""t"":83},{""x"":894,""y"":521,""t"":107},{""x"":909,""y"":563,""t"":149},{""x"":917,""y"":589,""t"":173},{""x"":909,""y"":595,""t"":210},{""x"":938,""y"":634,""t"":241},{""x"":959,""y"":657,""t"":274},{""x"":936,""y"":668,""t"":320},{""x"":916,""y"":676,""t"":350},{""x"":888,""y"":635,""t"":384}]","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":550,""y"":125,""width"":80,""height"":80,""top"":85,""right"":590,""bottom"":165,""left"":510},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":550,""y"":725,""width"":80,""height"":80,""top"":685,""right"":590,""bottom"":765,""left"":510}]","{""#container"":{""x"":266.42919921875,""y"":48.58407211303711,""width"":1099.9910888671875,""height"":849.9955444335938,""top"":48.58407211303711,""right"":1366.4202880859375,""bottom"":898.5796165466309,""left"":266.42919921875}}"
,,,534.0,6,6.0,"[""red"",""yellow"",""purple"",""green""]",purple,True,"[{""x"":914,""y"":574,""t"":2},{""x"":892,""y"":543,""t"":51},{""x"":933,""y"":511,""t"":74},{""x"":961,""y"":516,""t"":112},{""x"":984,""y"":521,""t"":147},{""x"":990,""y"":520,""t"":178},{""x"":993,""y"":519,""t"":206},{""x"":1016,""y"":526,""t"":242},{""x"":1034,""y"":532,""t"":273},{""x"":1048,""y"":529,""t"":324},{""x"":1050,""y"":536,""t"":343},{""x"":1049,""y"":542,""t"":380},{""x"":1040,""y"":535,""t"":417},{""x"":1023,""y"":514,""t"":452},{""x"":1014,""y"":519,""t"":489}]","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":550,""y"":125,""width"":80,""height"":80,""top"":85,""right"":590,""bottom"":165,""left"":510},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":550,""y"":725,""width"":80,""height"":80,""top"":685,""right"":590,""bottom"":765,""left"":510}]","{""#container"":{""x"":266.42919921875,""y"":48.58407211303711,""width"":1099.9910888671875,""height"":849.9955444335938,""top"":48.58407211303711,""right"":1366.4202880859375,""bottom"":898.5796165466309,""left"":266.42919921875}}"
,,,496.0,6,6.0,"[""yellow"",""purple"",""red"",""green""]",red,True,"[{""x"":1006,""y"":526,""t"":3},{""x"":971,""y"":503,""t"":40},{""x"":948,""y"":464,""t"":73},{""x"":929,""y"":431,""t"":107},{""x"":891,""y"":418,""t"":147},{""x"":889,""y"":397,""t"":185},{""x"":889,""y"":381,""t"":207},{""x"":891,""y"":392,""t"":246},{""x"":894,""y"":403,""t"":280},{""x"":900,""y"":472,""t"":316},{""x"":905,""y"":533,""t"":348},{""x"":940,""y"":560,""t"":384},{""x"":979,""y"":584,""t"":420},{""x"":1012,""y"":603,""t"":453}]","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":550,""y"":125,""width"":80,""height"":80,""top"":85,""right"":590,""bottom"":165,""left"":510},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":550,""y"":725,""width"":80,""height"":80,""top"":685,""right"":590,""bottom"":765,""left"":510}]","{""#container"":{""x"":266.42919921875,""y"":48.58407211303711,""width"":1099.9910888671875,""height"":849.9955444335938,""top"":48.58407211303711,""right"":1366.4202880859375,""bottom"":898.5796165466309,""left"":266.42919921875}}"
,,,673.0,5,5.0,"[""red"",""purple"",""yellow"",""green""]",blue,True,"[{""x"":1059,""y"":621,""t"":3},{""x"":1040,""y"":573,""t"":39},{""x"":1027,""y"":591,""t"":73},{""x"":1031,""y"":550,""t"":104},{""x"":993,""y"":558,""t"":137},{""x"":974,""y"":573,""t"":173},{""x"":951,""y"":565,""t"":206},{""x"":951,""y"":560,""t"":240},{""x"":951,""y"":556,""t"":273},{""x"":970,""y"":574,""t"":308},{""x"":974,""y"":589,""t"":353},{""x"":959,""y"":585,""t"":386},{""x"":940,""y"":560,""t"":418},{""x"":924,""y"":538,""t"":447},{""x"":916,""y"":518,""t"":478},{""x"":889,""y"":513,""t"":526},{""x"":930,""y"":489,""t"":555},{""x"":950,""y"":430,""t"":582},{""x"":941,""y"":431,""t"":617}]","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":550,""y"":125,""width"":80,""height"":80,""top"":85,""right"":590,""bottom"":165,""left"":510},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":550,""y"":725,""width"":80,""height"":80,""top"":685,""right"":590,""bottom"":765,""left"":510}]","{""#container"":{""x"":266.42919921875,""y"":48.58407211303711,""width"":1099.9910888671875,""height"":849.9955444335938,""top"":48.58407211303711,""right"":1366.4202880859375,""bottom"":898.5796165466309,""left"":266.42919921875}}"
,,,473.0,6,6.0,"[""blue"",""green"",""yellow"",""red""]",yellow,True,"[{""x"":905,""y"":487,""t"":5},{""x"":906,""y"":493,""t"":47},{""x"":960,""y"":563,""t"":78},{""x"":975,""y"":578,""t"":114},{""x"":996,""y"":570,""t"":148},{""x"":1014,""y"":562,""t"":181},{""x"":993,""y"":603,""t"":212},{""x"":974,""y"":638,""t"":243},{""x"":994,""y"":617,""t"":275},{""x"":984,""y"":612,""t"":308},{""x"":1002,""y"":630,""t"":358},{""x"":1017,""y"":645,""t"":376},{""x"":1030,""y"":656,""t"":419}]","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":550,""y"":125,""width"":80,""height"":80,""top"":85,""right"":590,""bottom"":165,""left"":510},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":550,""y"":725,""width"":80,""height"":80,""top"":685,""right"":590,""bottom"":765,""left"":510}]","{""#container"":{""x"":266.42919921875,""y"":48.58407211303711,""width"":1099.9910888671875,""height"":849.9955444335938,""top"":48.58407211303711,""right"":1366.4202880859375,""bottom"":898.5796165466309,""left"":266.42919921875}}"
,,,492.0,6,6.0,"[""red"",""green"",""blue"",""purple""]",blue,True,"[{""x"":1044,""y"":626,""t"":4},{""x"":1018,""y"":624,""t"":45},{""x"":978,""y"":607,""t"":78},{""x"":929,""y"":605,""t"":108},{""x"":924,""y"":601,""t"":140},{""x"":921,""y"":598,""t"":171},{""x"":892,""y"":612,""t"":206},{""x"":888,""y"":631,""t"":240},{""x"":906,""y"":658,""t"":274},{""x"":954,""y"":659,""t"":309},{""x"":996,""y"":659,""t"":341},{""x"":1047,""y"":675,""t"":386},{""x"":1073,""y"":669,""t"":417},{""x"":1090,""y"":632,""t"":451}]","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":550,""y"":125,""width"":80,""height"":80,""top"":85,""right"":590,""bottom"":165,""left"":510},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":550,""y"":725,""width"":80,""height"":80,""top"":685,""right"":590,""bottom"":765,""left"":510}]","{""#container"":{""x"":266.42919921875,""y"":48.58407211303711,""width"":1099.9910888671875,""height"":849.9955444335938,""top"":48.58407211303711,""right"":1366.4202880859375,""bottom"":898.5796165466309,""left"":266.42919921875}}"
