"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"","canvas-keyboard-response","89","175527","0.0-5.0-3.0-0.24","","","","","null","null","","","","","","","","","recognition","","[""5"",""6"",""8"",""4"",""2"",""2"",""5"",""6"",""6"",""5"",""8"",""8"",""4"",""6"",""4"",""2"",""8"",""4"",""5"",""2"",""4"",""6"",""2"",""8"",""5"",""4"",""2"",""6"",""8"",""5"",""8"",""4"",""6"",""4"",""6"",""5"",""2"",""2"",""4"",""4"",""8"",""8"",""5"",""2"",""5"",""6"",""2"",""6"",""5"",""8""]","500","4","shape","","","","","",""
"","canvas-keyboard-response","90","175636","0.0-5.0-3.0-1.24","","","","","null","null","","","","","","","","","recognition","","[""5"",""6"",""8"",""4"",""2"",""2"",""5"",""6"",""6"",""5"",""8"",""8"",""4"",""6"",""4"",""2"",""8"",""4"",""5"",""2"",""4"",""6"",""2"",""8"",""5"",""4"",""2"",""6"",""8"",""5"",""8"",""4"",""6"",""4"",""6"",""5"",""2"",""2"",""4"",""4"",""8"",""8"",""5"",""2"",""5"",""6"",""2"",""6"",""5"",""8""]","500","4","shape","","","","","",""
"","canvas-keyboard-response","91","177196","0.0-5.0-3.0-2.24","","","","","1053","5","","","[""triangle"",""circle"",""hexagram"",""rect""]","","","","","","","","","","","","[{""x"":1011,""y"":685,""t"":5},{""x"":1005,""y"":761,""t"":41},{""x"":985,""y"":758,""t"":75},{""x"":952,""y"":746,""t"":107},{""x"":949,""y"":726,""t"":140},{""x"":940,""y"":691,""t"":175},{""x"":950,""y"":683,""t"":208},{""x"":968,""y"":683,""t"":242},{""x"":966,""y"":644,""t"":276},{""x"":964,""y"":608,""t"":310},{""x"":954,""y"":583,""t"":344},{""x"":974,""y"":634,""t"":378},{""x"":970,""y"":710,""t"":420},{""x"":963,""y"":774,""t"":450},{""x"":946,""y"":837,""t"":482},{""x"":932,""y"":887,""t"":512},{""x"":906,""y"":910,""t"":548},{""x"":889,""y"":927,""t"":582},{""x"":886,""y"":936,""t"":616},{""x"":876,""y"":955,""t"":649},{""x"":887,""y"":968,""t"":685},{""x"":898,""y"":967,""t"":717},{""x"":895,""y"":976,""t"":753},{""x"":868,""y"":963,""t"":786},{""x"":897,""y"":973,""t"":821},{""x"":971,""y"":952,""t"":854},{""x"":998,""y"":910,""t"":885},{""x"":1086,""y"":881,""t"":923},{""x"":1188,""y"":890,""t"":956},{""x"":1260,""y"":861,""t"":990},{""x"":1309,""y"":835,""t"":1024}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","star","5","true","[{""x"":250,""y"":500,""width"":92,""height"":92,""top"":454,""right"":296,""bottom"":546,""left"":204},{""x"":550,""y"":200,""width"":80,""height"":80,""top"":160,""right"":590,""bottom"":240,""left"":510},{""x"":850,""y"":500,""width"":92.37604307034013,""height"":80,""top"":460,""right"":896.18802153517,""bottom"":540,""left"":803.81197846483},{""x"":550,""y"":800,""width"":80,""height"":80,""top"":760,""right"":590,""bottom"":840,""left"":510}]"
"","html-keyboard-response","92","178673","0.0-5.0-4.0","","","","","976"," ","","","<p>要求：记忆项目的颜色。</p><p>按"" ""键继续，实验开始。</p>","","","","","","","","","","","","","","","","",""
"","canvas-keyboard-response","93","179681","0.0-5.0-5.0-0.0","","","","","null","null","","","","","","","","","recognition","","[""5"",""6"",""8"",""4"",""2"",""2"",""5"",""6"",""6"",""5"",""8"",""8"",""4"",""6"",""4"",""2"",""8"",""4"",""5"",""2"",""4"",""6"",""2"",""8"",""5"",""4"",""2"",""6"",""8"",""5"",""8"",""4"",""6"",""4"",""6"",""5"",""2"",""2"",""4"",""4"",""8"",""8"",""5"",""2"",""5"",""6"",""2"",""6"",""5"",""8""]","500","4","color","","","","","",""
"","canvas-keyboard-response","94","179802","0.0-5.0-5.0-1.0","","","","","null","null","","","","","","","","","recognition","","[""5"",""6"",""8"",""4"",""2"",""2"",""5"",""6"",""6"",""5"",""8"",""8"",""4"",""6"",""4"",""2"",""8"",""4"",""5"",""2"",""4"",""6"",""2"",""8"",""5"",""4"",""2"",""6"",""8"",""5"",""8"",""4"",""6"",""4"",""6"",""5"",""2"",""2"",""4"",""4"",""8"",""8"",""5"",""2"",""5"",""6"",""2"",""6"",""5"",""8""]","500","4","color","","","","","",""
"","canvas-keyboard-response","95","180832","0.0-5.0-5.0-2.0","","","","","522","4","","","[""purple"",""blue"",""green"",""yellow""]","","","","","","","","","","","","[{""x"":1231,""y"":798,""t"":5},{""x"":1203,""y"":757,""t"":43},{""x"":1174,""y"":730,""t"":76},{""x"":1128,""y"":669,""t"":107},{""x"":1087,""y"":639,""t"":141},{""x"":1062,""y"":607,""t"":174},{""x"":1033,""y"":575,""t"":208},{""x"":1006,""y"":564,""t"":241},{""x"":978,""y"":550,""t"":276},{""x"":974,""y"":557,""t"":311},{""x"":954,""y"":555,""t"":344},{""x"":895,""y"":566,""t"":379},{""x"":828,""y"":528,""t"":413},{""x"":777,""y"":536,""t"":447},{""x"":720,""y"":530,""t"":480}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","purple","4","true","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":550,""y"":200,""width"":80,""height"":80,""top"":160,""right"":590,""bottom"":240,""left"":510},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810},{""x"":550,""y"":800,""width"":80,""height"":80,""top"":760,""right"":590,""bottom"":840,""left"":510}]"
"","canvas-keyboard-response","96","181838","0.0-5.0-5.0-0.1","","","","","null","null","","","","","","","","","recognition","","[""5"",""6"",""8"",""4"",""2"",""2"",""5"",""6"",""6"",""5"",""8"",""8"",""4"",""6"",""4"",""2"",""8"",""4"",""5"",""2"",""4"",""6"",""2"",""8"",""5"",""4"",""2"",""6"",""8"",""5"",""8"",""4"",""6"",""4"",""6"",""5"",""2"",""2"",""4"",""4"",""8"",""8"",""5"",""2"",""5"",""6"",""2"",""6"",""5"",""8""]","500","4","color","","","","","",""
"","canvas-keyboard-response","97","181946","0.0-5.0-5.0-1.1","","","","","null","null","","","","","","","","","recognition","","[""5"",""6"",""8"",""4"",""2"",""2"",""5"",""6"",""6"",""5"",""8"",""8"",""4"",""6"",""4"",""2"",""8"",""4"",""5"",""2"",""4"",""6"",""2"",""8"",""5"",""4"",""2"",""6"",""8"",""5"",""8"",""4"",""6"",""4"",""6"",""5"",""2"",""2"",""4"",""4"",""8"",""8"",""5"",""2"",""5"",""6"",""2"",""6"",""5"",""8""]","500","4","color","","","","","",""
"","canvas-keyboard-response","98","183072","0.0-5.0-5.0-2.1","","","","","609","5","","","[""red"",""green"",""blue"",""purple""]","","","","","","","","","","","","[{""x"":775,""y"":661,""t"":4},{""x"":818,""y"":731,""t"":45},{""x"":850,""y"":766,""t"":80},{""x"":869,""y"":755,""t"":116},{""x"":867,""y"":701,""t"":149},{""x"":866,""y"":645,""t"":177},{""x"":883,""y"":599,""t"":209},{""x"":867,""y"":540,""t"":242},{""x"":872,""y"":499,""t"":276},{""x"":873,""y"":456,""t"":311},{""x"":874,""y"":441,""t"":344},{""x"":906,""y"":477,""t"":378},{""x"":923,""y"":541,""t"":412},{""x"":949,""y"":604,""t"":445},{""x"":967,""y"":641,""t"":480},{""x"":989,""y"":680,""t"":516},{""x"":999,""y"":706,""t"":548},{""x"":1017,""y"":744,""t"":582}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","purple","2","false","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":550,""y"":200,""width"":80,""height"":80,""top"":160,""right"":590,""bottom"":240,""left"":510},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810},{""x"":550,""y"":800,""width"":80,""height"":80,""top"":760,""right"":590,""bottom"":840,""left"":510}]"
